YEAR,ROUND,LSEED,LTEAM,HSEED,HTEAM
2022,1,16,Georgia State,1,Gonzaga
2022,1,16,Norfolk State,1,Baylor
2022,1,16,Wright State,1,Arizona
2022,1,16,Texas Southern,1,Kansas
2022,1,15,Cal State Fullerton,2,Duke
2022,1,15,Saint Peter's,2,Kentucky
2022,1,15,Delaware,2,Villanova
2022,1,15,Jacksonville State,2,Auburn
2022,1,14,Montana State,3,Texas Tech
2022,1,14,Yale,3,Purdue
2022,1,14,Longwood,3,Tennessee
2022,1,14,Colgate,3,Wisconsin
2022,1,13,Vermont,4,Arkansas
2022,1,13,Akron,4,UCLA
2022,1,13,Chattanooga,4,Illinois
2022,1,13,South Dakota State,4,Providence
2022,1,12,New Mexico State,5,Connecticut
2022,1,12,Indiana,5,Saint Mary's
2022,1,12,UAB,5,Houston
2022,1,12,Richmond,5,Iowa
2022,1,11,Notre Dame,6,Alabama
2022,1,11,Virginia Tech,6,Texas
2022,1,11,Michigan,6,Colorado State
2022,1,11,Iowa State,6,LSU
2022,1,10,Davidson,7,Michigan State
2022,1,10,San Francisco,7,Murray State
2022,1,10,Loyola Chicago,7,Ohio State
2022,1,10,Miami FL,7,USC
2022,1,9,Memphis,8,Boise State
2022,1,9,Marquette,8,North Carolina
2022,1,9,TCU,8,Seton Hall
2022,1,9,Creighton,8,San Diego State
