YEAR,ROUND,HSEED,HTEAM,HSCORE,LSEED,LTEAM,LSCORE,SCORE_DIFF
2013,1,11,Minnesota,83,6,UCLA,63,-20
2013,1,9,Missouri,72,8,Colorado State,84,12
2013,1,12,Mississippi,57,5,Wisconsin,46,-11
2013,1,13,South Dakota State,56,4,Michigan,71,15
2013,1,11,Bucknell,56,6,Butler,68,12
2013,1,11,Saint Mary’s,52,6,Memphis,54,2
2013,1,10,Iowa State,76,7,Notre Dame,58,-18
2013,1,9,Villanova,71,8,North Carolina,78,7
2013,1,14,Valparaiso,54,3,Michigan State,65,11
2013,1,16,James Madison,62,1,Indiana,83,21
2013,1,14,Harvard,68,3,New Mexico,62,-6
2013,1,14,Northwestern State,47,3,Florida,79,32
2013,1,10,Oklahoma,55,7,San Diego State,70,15
2013,1,15,Iona,70,2,Ohio State,95,25
2013,1,12,Akron,42,5,VCU,88,46
2013,1,16,Southern,58,1,Gonzaga,64,6
2013,1,15,Albany,61,2,Duke,73,12
2013,1,16,Western Kentucky,57,1,Kansas,64,7
2013,1,10,Cincinnati,63,7,Creighton,67,4
2013,1,9,Wichita State,73,8,Pittsburgh,55,-18
2013,1,15,Pacific,49,2,Miami FL,78,29
2013,1,11,Belmont,64,6,Arizona,81,17
2013,1,9,Temple,76,8,North Carolina State,72,-4
2013,1,14,Davidson,58,3,Marquette,59,1
2013,1,13,La Salle,63,4,Kansas State,61,-2
2013,1,13,Montana,34,4,Syracuse,81,47
2013,1,16,North Carolina A&T,48,1,Louisville,79,31
2013,1,10,Colorado,49,7,Illinois,57,8
2013,1,15,Florida Gulf Coast,78,2,Georgetown,68,-10
2013,1,12,Oregon,68,5,Oklahoma State,55,-13
2013,1,13,New Mexico State,44,4,Saint Louis,64,20
2013,1,12,UC Berkeley,64,5,UNLV,61,-3
2013,2,12,UC Berkeley,60,4,Syracuse,66,6
2013,2,6,Butler,72,3,Marquette,74,2
2013,2,6,Memphis,48,3,Michigan State,70,22
2013,2,9,Temple,52,1,Indiana,58,6
2013,2,15,Florida Gulf Coast,81,7,San Diego State,71,-10
2013,2,5,VCU,53,4,Michigan,78,25
2013,2,9,Wichita State,76,1,Gonzaga,70,-6
2013,2,8,North Carolina,58,1,Kansas,70,12
2013,2,7,Creighton,50,2,Duke,66,16
2013,2,14,Harvard,51,6,Arizona,74,23
2013,2,10,Iowa State,75,2,Ohio State,78,3
2013,2,8,Colorado State,56,1,Louisville,82,26
2013,2,7,Illinois,59,2,Miami FL,63,4
2013,2,11,Minnesota,64,3,Florida,78,14
2013,2,12,Oregon,74,4,Saint Louis,57,-17
2013,2,13,La Salle,76,12,Mississippi,74,-2
2014,1,15,American,35,2,Wisconsin,75,40
2014,1,15,Wofford,40,2,Michigan,57,17
2014,1,9,George Washington,66,8,Memphis,71,5
2014,1,9,Kansas State,49,8,Kentucky,56,7
2014,1,11,Providence,77,6,North Carolina,79,2
2014,1,13,Delaware,78,4,Michigan State,93,15
2014,1,13,Tulsa,59,4,UCLA,76,17
